Tabelle: 1000A-3022
Personen: Alter (5er-Jahresgruppen) - Familienstand (ausführlich)/Familienstand - Geschlecht;;;;;;;;;;;;;;;;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Deutschland;;01 Schleswig-Holstein;;02 Hamburg;;03 Niedersachsen;;04 Bremen;;05 Nordrhein-Westfalen;;06 Hessen;;07 Rheinland-Pfalz;;08 Baden-Württemberg;;09 Bayern;;10 Saarland;;11 Berlin;;12 Brandenburg;;13 Mecklenburg-Vorpommern;;14 Sachsen;;15 Sachsen-Anhalt;;16 Thüringen;
;Ohne Angabe;Insgesamt;730137;e;27732;e;21468;e;97816;e;3592;e;208818;e;80198;e;64264;e;48104;e;38799;e;9096;e;15120;e;14008;e;8987;e;48045;e;18800;e;17036;e
;;Männlich;400216;e;14496;e;12104;e;53956;e;2272;e;116657;e;45892;e;36452;e;25818;e;19978;e;4715;e;7608;e;6518;e;4578;e;25178;e;10181;e;9040;e
;;Weiblich;329923;e;13233;e;9368;e;43862;e;1322;e;92163;e;34308;e;27811;e;22289;e;18817;e;4379;e;7514;e;7489;e;4410;e;22864;e;8620;e;7998;e
davon:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unter 5 Jahre;Insgesamt;Insgesamt;3877937;e;128147;e;93514;e;371159;e;35669;e;849746;e;294048;e;192254;e;551261;e;637948;e;42274;e;179361;e;104626;e;61213;e;171163;e;82370;e;82748;e
;;Männlich;1987683;e;65788;e;48438;e;190356;e;18265;e;436660;e;150157;e;98226;e;281387;e;326740;e;21814;e;91670;e;53606;e;31281;e;87833;e;42830;e;42438;e
;;Weiblich;1890251;e;62357;e;45080;e;180806;e;17402;e;413086;e;143892;e;94029;e;269871;e;311206;e;20459;e;87693;e;51021;e;29931;e;83331;e;39542;e;40313;e
;Ledig;Insgesamt;3872326;e;127829;e;93261;e;370400;e;35664;e;848893;e;293539;e;191664;e;550662;e;637661;e;42227;e;179271;e;104431;e;61053;e;170944;e;82219;e;82606;e
;;Männlich;1984794;e;65624;e;48312;e;189963;e;18263;e;436184;e;149914;e;97919;e;281085;e;326591;e;21787;e;91620;e;53512;e;31208;e;87715;e;42748;e;42362;e
;;Weiblich;1887529;e;62203;e;44948;e;180439;e;17401;e;412712;e;143624;e;93742;e;269578;e;311068;e;20442;e;87649;e;50923;e;29848;e;83231;e;39474;e;40247;e
;Verheiratet;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Verwitwet;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Geschieden;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaften;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Ohne Angabe;Insgesamt;5613;e;322;e;250;e;763;e;3;e;850;e;510;e;589;e;597;e;290;e;45;e;92;e;192;e;157;e;218;e;152;e;145;e
;;Männlich;2888;e;165;e;123;e;391;e;3;e;478;e;241;e;306;e;302;e;151;e;28;e;50;e;97;e;75;e;121;e;84;e;80;e
;;Weiblich;2725;e;154;e;130;e;369;e;3;e;374;e;267;e;284;e;296;e;139;e;19;e;42;e;97;e;84;e;100;e;65;e;64;e
5 bis 9 Jahre;Insgesamt;Insgesamt;3880730;e;132856;e;87578;e;369760;e;32987;e;843404;e;294006;e;191733;e;531104;e;614407;e;42018;e;172986;e;119299;e;69267;e;190988;e;92516;e;95392;e
;;Männlich;1988215;e;67734;e;45189;e;189426;e;16904;e;432741;e;149916;e;98269;e;271829;e;314910;e;21667;e;88132;e;60947;e;35295;e;97995;e;48149;e;48890;e
;;Weiblich;1892512;e;65119;e;42387;e;180333;e;16085;e;410665;e;144094;e;93461;e;259276;e;299494;e;20348;e;84851;e;58355;e;33973;e;92992;e;44366;e;46504;e
;Ledig;Insgesamt;3867863;e;132241;e;87052;e;367950;e;32959;e;840088;e;292988;e;190417;e;529926;e;613747;e;41892;e;172878;e;118914;e;68972;e;190569;e;92151;e;95130;e
;;Männlich;1981644;e;67433;e;44928;e;188525;e;16890;e;431037;e;149393;e;97574;e;271189;e;314575;e;21601;e;88088;e;60753;e;35154;e;97775;e;47962;e;48766;e
;;Weiblich;1886217;e;64805;e;42122;e;179425;e;16069;e;409048;e;143594;e;92840;e;258739;e;299173;e;20287;e;84789;e;58158;e;33819;e;92796;e;44191;e;46361;e
;Verheiratet;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Verwitwet;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Geschieden;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaften;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Ohne Angabe;Insgesamt;12864;e;618;e;528;e;1813;e;28;e;3318;e;1021;e;1319;e;1179;e;657;e;128;e;106;e;383;e;297;e;418;e;362;e;265;e
;;Männlich;6571;e;303;e;262;e;901;e;11;e;1701;e;523;e;698;e;637;e;335;e;61;e;47;e;191;e;142;e;218;e;190;e;122;e
;;Weiblich;6294;e;314;e;267;e;909;e;14;e;1615;e;498;e;618;e;539;e;323;e;63;e;61;e;194;e;152;e;198;e;176;e;142;e
10 bis 14 Jahre;Insgesamt;Insgesamt;3777504;e;134401;e;80365;e;364606;e;30774;e;824744;e;288758;e;184953;e;516745;e;586437;e;42177;e;159771;e;118952;e;70742;e;186675;e;92923;e;94082;e
;;Männlich;1937288;e;68998;e;41681;e;187384;e;15768;e;423042;e;147313;e;95210;e;264210;e;301036;e;21687;e;81783;e;60815;e;36026;e;95839;e;48090;e;48218;e
;;Weiblich;1840217;e;65406;e;38681;e;177221;e;15008;e;401700;e;141446;e;89744;e;252531;e;285402;e;20492;e;77991;e;58139;e;34714;e;90836;e;44831;e;45867;e
;Ledig;Insgesamt;3762659;e;133613;e;79775;e;362344;e;30745;e;820656;e;287580;e;183311;e;515679;e;585815;e;41967;e;159658;e;118555;e;70433;e;186174;e;92524;e;93829;e
;;Männlich;1929642;e;68620;e;41374;e;186193;e;15755;e;420935;e;146705;e;94351;e;263650;e;300741;e;21580;e;81724;e;60600;e;35871;e;95562;e;47892;e;48089;e
;;Weiblich;1833014;e;64991;e;38402;e;176153;e;14989;e;399719;e;140875;e;88963;e;252027;e;285074;e;20385;e;77934;e;57956;e;34565;e;90610;e;44632;e;45744;e
;Verheiratet;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Verwitwet;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Geschieden;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaften;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Ohne Angabe;Insgesamt;14842;e;791;e;590;e;2261;e;31;e;4086;e;1179;e;1639;e;1062;e;622;e;212;e;116;e;394;e;312;e;500;e;396;e;248;e
;;Männlich;7644;e;375;e;310;e;1193;e;12;e;2105;e;607;e;860;e;562;e;294;e;105;e;60;e;214;e;157;e;274;e;197;e;131;e
;;Weiblich;7200;e;413;e;278;e;1069;e;17;e;1983;e;571;e;780;e;502;e;328;e;105;e;54;e;184;e;152;e;223;e;202;e;121;e
15 bis 19 Jahre;Insgesamt;Insgesamt;3802662;e;138393;e;78736;e;380803;e;32415;e;848700;e;292493;e;187985;e;539153;e;595205;e;43269;e;147055;e;107272;e;64713;e;171351;e;86508;e;88258;e
;;Männlich;1952159;e;71046;e;40333;e;194909;e;16826;e;436332;e;149969;e;96443;e;277507;e;305293;e;22451;e;74618;e;55527;e;32893;e;87386;e;44935;e;45521;e
;;Weiblich;1850504;e;67349;e;38403;e;185898;e;15587;e;412370;e;142521;e;91540;e;261643;e;289910;e;20820;e;72435;e;51743;e;31821;e;83967;e;41569;e;42734;e
;Ledig;Insgesamt;3769196;e;137026;e;77721;e;375846;e;32246;e;839402;e;289466;e;184633;e;537113;e;593454;e;42784;e;146170;e;106528;e;64219;e;169357;e;85703;e;87533;e
;;Männlich;1937156;e;70411;e;39866;e;192624;e;16776;e;432150;e;148548;e;94880;e;276754;e;304685;e;22219;e;74211;e;55185;e;32697;e;86434;e;44556;e;45165;e
;;Weiblich;1832043;e;66612;e;37859;e;183226;e;15472;e;407255;e;140915;e;89751;e;260360;e;288770;e;20568;e;71961;e;51342;e;31527;e;82926;e;41144;e;42367;e
;Verheiratet;Insgesamt;5175;e;122;e;73;e;500;e;102;e;1334;e;444;e;315;e;808;e;744;e;81;e;220;e;72;e;53;e;153;e;77;e;74;e
;;Männlich;779;e;23;e;17;e;76;e;16;e;202;e;58;e;49;e;108;e;104;e;9;e;31;e;15;e;7;e;41;e;14;e;8;e
;;Weiblich;4395;e;101;e;59;e;422;e;86;e;1130;e;384;e;265;e;698;e;635;e;71;e;188;e;58;e;44;e;115;e;65;e;70;e
;Verwitwet;Insgesamt;118;e;7;e;87;e;3;e;-;;11;e;-;;-;;4;e;-;;4;e;3;e;-;;-;;3;e;-;;3;e
;;Männlich;48;e;-;;38;e;3;e;-;;-;;-;;-;;-;;-;;4;e;-;;-;;-;;3;e;-;;-;
;;Weiblich;73;e;5;e;48;e;-;;-;;11;e;-;;-;;4;e;-;;-;;3;e;-;;-;;-;;-;;-;
;Geschieden;Insgesamt;44;e;-;;-;;3;e;-;;3;e;3;e;4;e;12;e;3;e;-;;-;;5;e;-;;3;e;3;e;3;e
;;Männlich;16;e;-;;-;;-;;-;;3;e;4;e;3;e;6;e;-;;-;;-;;-;;-;;-;;-;;3;e
;;Weiblich;24;e;-;;-;;-;;-;;-;;-;;4;e;4;e;5;e;-;;-;;4;e;-;;-;;3;e;3;e
;Eingetragene Lebenspartnerschaften;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;3;e;-;;-;;-;;-;;-;;-;;-;;3;e;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;3;e;-;;-;;-;;-;;-;;-;;-;;3;e;-;;-;;-;;-;;-;;-;;-;;-;
;Ohne Angabe;Insgesamt;28119;e;1243;e;854;e;4451;e;61;e;7953;e;2582;e;3032;e;1210;e;999;e;402;e;658;e;664;e;444;e;1841;e;727;e;644;e
;;Männlich;14150;e;609;e;414;e;2206;e;34;e;3975;e;1356;e;1511;e;635;e;502;e;219;e;374;e;325;e;192;e;914;e;365;e;347;e
;;Weiblich;13968;e;631;e;443;e;2248;e;30;e;3977;e;1223;e;1521;e;575;e;498;e;182;e;284;e;338;e;250;e;923;e;360;e;300;e
20 bis 24 Jahre;Insgesamt;Insgesamt;4399638;e;151637;e;106574;e;432501;e;45390;e;992634;e;340691;e;215056;e;641307;e;710611;e;50260;e;191733;e;94822;e;64343;e;180813;e;90003;e;91093;e
;;Männlich;2279369;e;78824;e;52478;e;224924;e;23798;e;513210;e;176691;e;110962;e;334601;e;370475;e;26074;e;94659;e;50536;e;32875;e;93923;e;47310;e;47934;e
;;Weiblich;2120264;e;72810;e;54094;e;207572;e;21589;e;479426;e;164000;e;104091;e;306704;e;340132;e;24184;e;97071;e;44284;e;31468;e;86893;e;42695;e;43158;e
;Ledig;Insgesamt;4147883;e;143900;e;101294;e;403788;e;42794;e;926710;e;317574;e;197028;e;611260;e;680896;e;46928;e;182770;e;90969;e;61493;e;169639;e;84821;e;86020;e
;;Männlich;2187599;e;76038;e;50578;e;213355;e;22981;e;488316;e;167553;e;103416;e;325544;e;362023;e;24941;e;91795;e;49140;e;31835;e;89018;e;45120;e;45946;e
;;Weiblich;1960288;e;67865;e;50716;e;190436;e;19816;e;438396;e;150022;e;93610;e;285719;e;318875;e;21986;e;90973;e;41825;e;29659;e;80616;e;39698;e;40072;e
;Verheiratet;Insgesamt;164606;e;4551;e;3055;e;15571;e;2113;e;41434;e;14112;e;9602;e;25534;e;25901;e;2271;e;6916;e;2307;e;1617;e;4402;e;2499;e;2722;e
;;Männlich;41451;e;1046;e;751;e;3906;e;548;e;10672;e;3500;e;2415;e;6499;e;6514;e;512;e;1772;e;565;e;382;e;1130;e;610;e;639;e
;;Weiblich;123152;e;3508;e;2302;e;11664;e;1569;e;30765;e;10612;e;7191;e;19037;e;19384;e;1758;e;5144;e;1744;e;1237;e;3271;e;1890;e;2078;e
;Verwitwet;Insgesamt;441;e;15;e;219;e;15;e;-;;66;e;22;e;11;e;29;e;28;e;3;e;3;e;4;e;3;e;7;e;5;e;7;e
;;Männlich;126;e;5;e;65;e;9;e;-;;28;e;6;e;-;;7;e;4;e;-;;3;e;3;e;-;;-;;-;;-;
;;Weiblich;313;e;10;e;154;e;12;e;-;;42;e;15;e;8;e;24;e;22;e;3;e;3;e;3;e;3;e;4;e;5;e;3;e
;Geschieden;Insgesamt;4006;e;118;e;82;e;387;e;56;e;995;e;328;e;222;e;490;e;652;e;76;e;189;e;67;e;55;e;142;e;64;e;85;e
;;Männlich;814;e;26;e;20;e;83;e;15;e;192;e;65;e;51;e;97;e;125;e;22;e;48;e;18;e;10;e;29;e;9;e;19;e
;;Weiblich;3190;e;90;e;64;e;307;e;44;e;806;e;262;e;173;e;392;e;529;e;56;e;144;e;45;e;48;e;112;e;56;e;62;e
;Eingetragene Lebenspartnerschaften;Insgesamt;43;e;5;e;-;;6;e;-;;8;e;3;e;4;e;-;;6;e;-;;7;e;3;e;-;;-;;-;;3;e
;;Männlich;27;e;4;e;-;;3;e;-;;7;e;3;e;-;;-;;3;e;-;;5;e;-;;-;;-;;3;e;-;
;;Weiblich;19;e;3;e;-;;3;e;-;;3;e;-;;3;e;-;;-;;-;;3;e;3;e;-;;-;;-;;3;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;3;e;-;;-;;-;;-;;-;;-;;-;;3;e;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;3;e;-;;-;;-;;-;;-;;-;;-;;3;e;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;35;e;-;;-;;-;;-;;10;e;-;;-;;10;e;7;e;-;;-;;-;;-;;-;;-;;-;
;;Männlich;22;e;-;;-;;-;;-;;7;e;-;;-;;5;e;3;e;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;14;e;-;;-;;-;;-;;3;e;-;;-;;3;e;3;e;-;;-;;-;;-;;-;;-;;3;e
;Ohne Angabe;Insgesamt;82620;e;3042;e;1922;e;12722;e;423;e;23413;e;8654;e;8185;e;3978;e;3123;e;983;e;1842;e;1474;e;1172;e;6617;e;2606;e;2268;e
;;Männlich;49332;e;1713;e;1064;e;7570;e;263;e;14001;e;5567;e;5083;e;2450;e;1806;e;602;e;1039;e;811;e;650;e;3736;e;1568;e;1329;e
;;Weiblich;33287;e;1335;e;859;e;5153;e;162;e;9414;e;3088;e;3100;e;1531;e;1314;e;380;e;806;e;664;e;524;e;2884;e;1041;e;941;e
25 bis 29 Jahre;Insgesamt;Insgesamt;4758696;e;156228;e;135550;e;453898;e;49716;e;1091070;e;376422;e;234733;e;693287;e;797998;e;57828;e;254203;e;82021;e;54174;e;164989;e;77869;e;78361;e
